Test	Complex	Distribution	Minimization	RMSD
500	lig	uniform	0	3.453727884380812
500	lig	uniform	0	2.843519026238971
500	lig	uniform	0	3.5521666214384826
500	lig	uniform	0	4.956243851018042
500	lig	uniform	0	4.282890798673378
500	lig	uniform	0	3.4917821124625035
500	lig	uniform	0	3.608853060948174
500	lig	uniform	0	3.4776338760781407
500	lig	uniform	0	4.53271187870206
500	lig	uniform	0	4.311619261252831
500	lig	uniform	0	2.6293125522820477
500	lig	uniform	0	3.0324228009504584
500	lig	uniform	0	4.186154268296146
500	lig	uniform	0	3.009355238726319
500	lig	uniform	0	3.8464249723547
500	lig	uniform	0	4.254237486301022
500	lig	uniform	0	4.363349350304018
500	lig	uniform	0	3.287984556060391
500	lig	uniform	0	2.917242504638075
500	lig	uniform	0	4.6050720707825175
500	lig	uniform	0	3.867924597963815
500	lig	uniform	0	4.054766336931495
500	lig	uniform	0	3.710533646248348
500	lig	uniform	0	4.209684389817758
500	lig	uniform	0	3.964591485696366
500	lig	uniform	0	3.236326495766388
500	lig	uniform	0	2.940109232542576
500	lig	uniform	0	4.135527220698548
500	lig	uniform	0	2.8723774935557844
500	lig	uniform	0	3.150599973869785
500	lig	uniform	0	4.805525516766276
500	lig	uniform	0	3.969680577437558
500	lig	uniform	0	4.014975466589403
500	lig	uniform	0	4.619102613012951
500	lig	uniform	0	3.0021874724141364
500	lig	uniform	0	4.863863805869994
500	lig	uniform	0	4.559112118413646
500	lig	uniform	0	3.697395687786006
500	lig	uniform	0	2.9440374733153623
500	lig	uniform	0	3.405277886088177
500	lig	uniform	0	4.178647868132972
500	lig	uniform	0	4.012037383893237
500	lig	uniform	0	3.051611965779626
500	lig	uniform	0	4.04873932467424
500	lig	uniform	0	3.480725011418097
500	lig	uniform	0	3.330973874492176
500	lig	uniform	0	3.8994084976337016
500	lig	uniform	0	3.842008345720927
500	lig	uniform	0	4.55028566774202
500	lig	uniform	0	3.1233944030035627
500	lig	uniform	0	3.297840805145078
500	lig	uniform	0	3.280980544978483
500	lig	uniform	0	3.288563517795577
500	lig	uniform	0	3.4476202646337044
500	lig	uniform	0	3.8265701591616086
500	lig	uniform	0	3.813756670042559
500	lig	uniform	0	3.1227718421321082
500	lig	uniform	0	3.3839997677644593
500	lig	uniform	0	3.369260378201109
500	lig	uniform	0	3.906206336805659
500	lig	uniform	0	4.743681486207049
500	lig	uniform	0	5.139721934889828
500	lig	uniform	0	2.8076863170889728
500	lig	uniform	0	2.637889054381051
500	lig	uniform	0	2.631086401008167
500	lig	uniform	0	5.404785268984904
500	lig	uniform	0	3.0308801580066325
500	lig	uniform	0	4.219717308177142
500	lig	uniform	0	4.483260615037432
500	lig	uniform	0	4.851690868093714
500	lig	uniform	0	4.109155323205616
500	lig	uniform	0	3.5449971002649368
500	lig	uniform	0	4.079892118035088
500	lig	uniform	0	2.668790339343835
500	lig	uniform	0	3.652280135703085
500	lig	uniform	0	3.158022961308388
500	lig	uniform	0	4.552665136847066
500	lig	uniform	0	2.814693916318786
500	lig	uniform	0	4.530063595978921
500	lig	uniform	0	2.8010383043924847
500	lig	uniform	0	3.698836383985912
500	lig	uniform	0	3.688035879890538
500	lig	uniform	0	4.058150950732621
500	lig	uniform	0	4.64396784716074
500	lig	uniform	0	4.386131264107163
500	lig	uniform	0	4.914735125196197
500	lig	uniform	0	3.8084503696749823
500	lig	uniform	0	5.384675626809702
500	lig	uniform	0	3.303281283974094
500	lig	uniform	0	5.1897546068351765
500	lig	uniform	0	3.297947995480121
500	lig	uniform	0	3.5601710038693883
500	lig	uniform	0	2.7067426586880843
500	lig	uniform	0	5.037445019575224
500	lig	uniform	0	3.379201247740336
500	lig	uniform	0	3.1294359625885817
500	lig	uniform	0	2.9118150619220478
500	lig	uniform	0	3.2813433370647633
500	lig	uniform	0	4.000347499018199
500	lig	uniform	0	4.849477930513788
500	lig	uniform	0	4.323422187683138
500	lig	uniform	0	4.05165127420824
500	lig	uniform	0	2.9597576553101206
500	lig	uniform	0	4.560303687783676
500	lig	uniform	0	4.4011960252661995
500	lig	uniform	0	3.9601659763240966
500	lig	uniform	0	3.0197765323953787
500	lig	uniform	0	3.593168438048133
500	lig	uniform	0	3.592627830276536
500	lig	uniform	0	3.909548010222213
500	lig	uniform	0	4.152659469479878
500	lig	uniform	0	3.7336930526493823
500	lig	uniform	0	5.289717426663463
500	lig	uniform	0	3.104161564142955
500	lig	uniform	0	3.3870847271421836
500	lig	uniform	0	3.267148374770745
500	lig	uniform	0	3.094604134928409
500	lig	uniform	0	3.4710389825458914
500	lig	uniform	0	3.1239915573550676
500	lig	uniform	0	3.5016084495690953
500	lig	uniform	0	3.4231724137298047
500	lig	uniform	0	3.8658150079736413
500	lig	uniform	0	3.1772954221634175
500	lig	uniform	0	4.452471871294374
500	lig	uniform	0	2.4632048503403676
500	lig	uniform	0	4.331063043248363
500	lig	uniform	0	5.048917752827239
500	lig	uniform	0	3.3108411610399675
500	lig	uniform	0	4.453598401150782
500	lig	uniform	0	4.536649282043261
500	lig	uniform	0	2.6859978113177787
500	lig	uniform	0	4.714325113455567
500	lig	uniform	0	2.5623050932822586
500	lig	uniform	0	3.508137343503072
500	lig	uniform	0	4.533299354605416
500	lig	uniform	0	3.239544128050059
500	lig	uniform	0	3.1028430587469664
500	lig	uniform	0	3.696724819737596
500	lig	uniform	0	3.8687360450719175
500	lig	uniform	0	4.0630708289815685
500	lig	uniform	0	2.5079980532241604
500	lig	uniform	0	3.2811573499918643
500	lig	uniform	0	3.89853116773257
500	lig	uniform	0	3.7952366561717863
500	lig	uniform	0	4.10985604646685
500	lig	uniform	0	3.4814318262511392
500	lig	uniform	0	2.581602568956591
500	lig	uniform	0	3.165973741968489
500	lig	uniform	0	3.879702690137583
500	lig	uniform	0	3.256539376412627
500	lig	uniform	0	2.6567678172966094
500	lig	uniform	0	3.2766504448454556
500	lig	uniform	0	3.734310333811615
500	lig	uniform	0	3.6380206091367224
500	lig	uniform	0	3.875009068530059
500	lig	uniform	0	4.219184497077641
500	lig	uniform	0	3.329619211874351
500	lig	uniform	0	4.368042166321719
500	lig	uniform	0	3.322483408619822
500	lig	uniform	0	2.7709767139290773
500	lig	uniform	0	4.047292321262513
500	lig	uniform	0	3.1584215632695147
500	lig	uniform	0	3.364367319749099
500	lig	uniform	0	3.4082581335577076
500	lig	uniform	0	3.035467619825148
500	lig	uniform	0	4.176365672936719
500	lig	uniform	0	4.173265316559286
500	lig	uniform	0	3.8036695568037335
500	lig	uniform	0	3.323550526763377
500	lig	uniform	0	2.9065364573305685
500	lig	uniform	0	3.933203305029986
500	lig	uniform	0	4.448075370962469
500	lig	uniform	0	4.042393072488187
500	lig	uniform	0	3.2072993318273166
500	lig	uniform	0	3.9597485919258313
500	lig	uniform	0	3.0275581225730184
