Test	Cpx	Angle	Inter	Dist	Minimizer	RMSD
1000	1QDL	30	1i1q_CB	normal	0	61.481870142024384
1000	1QDL	30	1i1q_DB	normal	0	21.44549746252361
1000	1QDL	30	1i1q_DB	normal	0	26.57138171720702
1000	1QDL	30	1i1q_CB	normal	0	61.28506437754508
1000	1QDL	30	1i1q_DB	normal	0	29.21552158749589
1000	1QDL	30	1i1q_DB	normal	0	20.974061033591003
1000	1QDL	30	1i1q_DB	normal	0	21.220204321801567
1000	1QDL	30	1i1q_DB	normal	0	23.144104812918325
1000	1QDL	30	1i1q_DB	normal	0	18.796803104233327
1000	1QDL	30	1i1q_CB	normal	0	61.52032838301317
1000	1QDL	30	1i1q_DB	normal	0	22.483683914030408
1000	1QDL	30	1i1q_CB	normal	0	79.458718300767
1000	1QDL	30	1i1q_CB	normal	0	60.37230156986298
1000	1QDL	30	1i1q_CB	normal	0	77.26528106609125
1000	1QDL	30	1i1q_DB	normal	0	24.041835966385822
1000	1QDL	30	1i1q_DB	normal	0	26.38566880576098
1000	1QDL	30	1i1q_CB	normal	0	86.01049710059398
1000	1QDL	30	1i1q_DB	normal	0	20.100454714544135
1000	1QDL	30	1i1q_DB	normal	0	21.874955488730883
1000	1QDL	30	1i1q_CB	normal	0	82.4836283755948
1000	1QDL	30	1i1q_DB	normal	0	22.833631025787824
1000	1QDL	30	1i1q_DB	normal	0	20.680782722178016
1000	1QDL	30	1i1q_CB	normal	0	70.60204873146424
1000	1QDL	30	1i1q_CB	normal	0	63.43089703141374
1000	1QDL	30	1i1q_CB	normal	0	56.732914242146194
1000	1QDL	30	1i1q_DB	normal	0	22.60133556870806
1000	1QDL	30	1i1q_CB	normal	0	54.65118825141683
1000	1QDL	30	1i1q_DB	normal	0	21.877118496815175
1000	1QDL	30	1i1q_DB	normal	0	19.788977930779236
1000	1QDL	30	1i1q_CB	normal	0	74.25314173027735
1000	1QDL	30	1i1q_CB	normal	0	66.003343259631
1000	1QDL	30	1i1q_DB	normal	0	26.437614105939854
1000	1QDL	30	1i1q_CB	normal	0	62.60471270265255
1000	1QDL	30	1i1q_DB	normal	0	19.969631302593534
1000	1QDL	30	1i1q_CB	normal	0	64.59753329687342
1000	1QDL	30	1i1q_CB	normal	0	69.61365601774465
1000	1QDL	30	1i1q_CB	normal	0	61.19189261900894
1000	1QDL	30	1i1q_CB	normal	0	58.06101125845486
1000	1QDL	30	1i1q_DB	normal	0	23.86739754726409
1000	1QDL	30	1i1q_CB	normal	0	70.48556838542572
1000	1QDL	30	1i1q_CB	normal	0	60.69638841635919
1000	1QDL	30	1i1q_CB	normal	0	81.42546933105415
1000	1QDL	30	1i1q_CB	normal	0	60.839114736401065
1000	1QDL	30	1i1q_CB	normal	0	63.44955161810375
1000	1QDL	30	1i1q_CB	normal	0	82.28401861537758
1000	1QDL	30	1i1q_DB	normal	0	21.816262962467118
1000	1QDL	30	1i1q_CB	normal	0	65.08375893431985
1000	1QDL	30	1i1q_DB	normal	0	22.192960622803206
1000	1QDL	30	1i1q_CB	normal	0	57.25513994180196
1000	1QDL	30	1i1q_CB	normal	0	62.60490703971937
1000	1QDL	30	1i1q_CB	normal	0	68.5524387757007
1000	1QDL	30	1i1q_CB	normal	0	66.15200729684773
1000	1QDL	30	1i1q_CB	normal	0	58.305371457967034
1000	1QDL	30	1i1q_DB	normal	0	11.973297988621944
1000	1QDL	30	1i1q_DB	normal	0	30.487294980339026
1000	1QDL	30	1i1q_DB	normal	0	25.22410966955408
1000	1QDL	30	1i1q_DB	normal	0	21.71144896588416
1000	1QDL	30	1i1q_DB	normal	0	21.051044690735335
1000	1QDL	30	1i1q_DB	normal	0	22.073356380792944
1000	1QDL	30	1i1q_DB	normal	0	24.524831372868938
1000	1QDL	30	1i1q_CB	normal	0	59.12267289676368
1000	1QDL	30	1i1q_CB	normal	0	80.3941096786768
1000	1QDL	30	1i1q_DB	normal	0	22.197928316988765
1000	1QDL	30	1i1q_CB	normal	0	55.48159581862859
1000	1QDL	30	1i1q_DB	normal	0	18.854638731754342
1000	1QDL	30	1i1q_CB	normal	0	67.11982001477664
1000	1QDL	30	1i1q_CB	normal	0	69.8927658707208
1000	1QDL	30	1i1q_DB	normal	0	19.391146004387164
1000	1QDL	30	1i1q_DB	normal	0	17.846804496888552
1000	1QDL	30	1i1q_DB	normal	0	23.43818274677608
1000	1QDL	30	1i1q_CB	normal	0	52.97041696993112
1000	1QDL	30	1i1q_DB	normal	0	19.442699261702835
1000	1QDL	30	1i1q_CB	normal	0	58.620198727488344
1000	1QDL	30	1i1q_DB	normal	0	21.243624024507724
1000	1QDL	30	1i1q_CB	normal	0	75.201787436155
1000	1QDL	30	1i1q_DB	normal	0	27.24320045053904
1000	1QDL	30	1i1q_CB	normal	0	57.3596754319655
1000	1QDL	30	1i1q_CB	normal	0	62.56671840437881
1000	1QDL	30	1i1q_DB	normal	0	30.098113399349952
1000	1QDL	30	1i1q_CB	normal	0	59.57632211396451
1000	1QDL	30	1i1q_DB	normal	0	22.12423041433819
